"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,31,10.3,0,NA,0,3
"VINCENTBROWN","Vincent Brown","WR","OAK",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"KENNYBRITT","Kenny Britt","WR","STL",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,31,7.8,0,NA,0,3
"BRICEBUTLER","Brice Butler","WR","OAK",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,31,10.3,0,NA,0,3
"WESWELKER","Wes Welker","WR","DEN",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,10,0,NA,0,3
"DONTEMONCRIEF","Donte Moncrief","WR","IND",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,12.7,0,NA,0,3
"VERNONDAVIS","Vernon Davis","TE","SF",19,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",19,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,10,0,NA,0,3
"ANDREWILLIAMS","Andre Williams","RB","NYG",45,159,NA,NA,NA,NA,NA,NA,NA,6,20,3.3,0,0,0,0,0,NA,0,2
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",45,159,NA,NA,NA,NA,NA,NA,NA,4,19,4.8,0,2,10,5,0,NA,0,2
"KNILEDAVIS","Knile Davis","RB","KC",45,159,NA,NA,NA,NA,NA,NA,NA,6,23,3.8,0,0,0,0,0,NA,0,2
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",45,159,NA,NA,NA,NA,NA,NA,NA,1,4,4,0,2,23,11.5,0,NA,0,2
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",45,159,NA,NA,NA,NA,NA,NA,NA,5,23,4.6,0,0,0,0,0,NA,0,2
"CARLOSHYDE","Carlos Hyde","RB","SF",45,159,NA,NA,NA,NA,NA,NA,NA,5,25,5,0,1,3,3,0,NA,0,2
"TRAVARISCADET","Travaris Cadet","RB","NO",45,159,NA,NA,NA,NA,NA,NA,NA,2,8,4,0,3,20,6.7,0,NA,0,2
"BRENTONBERSIN","Brenton Bersin","WR","CAR",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"HAKEEMNICKS","Hakeem Nicks","WR","IND",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,13,0,NA,0,2
"BRIANHARTLINE","Brian Hartline","WR","MIA",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,6.7,0,NA,0,2
"RILEYCOOPER","Riley Cooper","WR","PHI",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,8.3,0,NA,0,2
"JOSHMORGAN","Josh Morgan","WR","CHI",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,11,0,NA,0,2
"AJJENKINS","A.J. Jenkins","WR","KC",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"JEREMYROSS","Jeremy Ross","WR","DET",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,10.5,0,NA,0,2
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,0,NA,0,2
"HARRYDOUGLAS","Harry Douglas","WR","ATL",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,0,NA,0,2
"ANDREHOLMES","Andre Holmes","WR","OAK",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,12,0,NA,0,2
"EDDIEROYAL","Eddie Royal","WR","SD",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,0,NA,0,2
"TAVONAUSTIN","Tavon Austin","WR","STL",67,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,7.3,0,NA,0,2
"HEATHMILLER","Heath Miller","TE","PIT",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,12.5,0,NA,0,2
"TIMOTHYWRIGHT","Timothy Wright","TE","NE",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,12.5,0,NA,0,2
"CHASECOFFMAN","Chase Coffman","TE","TEN",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,10.5,0,NA,0,2
"JOHNCARLSON","John Carlson","TE","ARI",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"ERICEBRON","Eric Ebron","TE","DET",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,0,NA,0,2
"COOPERHELFET","Cooper Helfet","TE","SEA",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,0,NA,0,2
"GARYBARNIDGE","Gary Barnidge","TE","CLE",21,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,12,0,NA,0,2
