"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"COREYBROWN","WR","Corey Brown","CAR",77,190,5.36,3,NA,0,0,0,0.6,4.2,0,1.8,25.7,0.2,0,0,0
"JAREDCOOK","TE","Jared Cook","STL",28,191,5.31,4.4,NA,0,0,0,0,0,0,2.8,32.9,0.1,0,0,0
"MIKEWALLACE","WR","Mike Wallace","MIN",78,192,5.18,3.6,NA,0,0,0,0.1,0.9,0,2.1,32,0.1,0,0,0
"MARLONMOORE","WR","Marlon Moore","CLE",79,193,5.17,4.3,NA,0,0,0,0,0,0,2.4,33.3,0.1,0,0,0
"LUKEWILLSON","TE","Luke Willson","SEA",29,194,5.03,2.8,NA,0,0,0,0,0,0,1.8,20.3,0.4,0,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",80,195,4.86,3.7,NA,0,0,0,0,0,0,2.1,31.8,0.1,0,0,0
"OWENDANIELS","TE","Owen Daniels","DEN",30,196,4.76,3.7,NA,0,0,0,0,0,0,2.4,26.1,0.2,0,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",81,197,4.73,3.2,NA,0,0,0,0.6,3.8,0,1.9,22.1,0.2,0,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",31,198,4.65,3,NA,0,0,0,0,0,0,2,23.4,0.2,0,0,0
"ADAMHUMPHRIES","WR","Adam Humphries","TB",82,199,4.64,3.8,NA,0,0,0,0,0,0,2.4,26.2,0.1,0,0,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",83,200,4.62,3,NA,0,0,0,0,0,0,1.9,23.9,0.2,0,0,0
