"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"BRANDONGIBSON","WR","Brandon Gibson","MIA",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JERRELJERNIGAN","WR","Jerrel Jernigan","NYG",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JOSHMORGAN","WR","Josh Morgan","CHI",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
