"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"MATTASIATA","RB","27-070","2014-10-02","MIN",TRUE,"GNB","L 10-42",5,"Thu",5,2014,5,NA,NA,NA,72,0,NA,NA,NA
"MATTFLYNN","QB","29-104","2014-10-02","GNB",FALSE,"MIN","W 42-10",5,"Thu",5,2014,5,22,0,1,-1,0,NA,NA,NA
"MATTFORTE","RB","28-299","2014-10-05","CHI",TRUE,"CAR","L 24-31",5,"Sun",5,2014,5,NA,NA,NA,61,0,12,105,1
"MATTHEWSTAFFORD","QB","26-240","2014-10-05","DET",FALSE,"BUF","L 14-17",5,"Sun",5,2014,5,231,1,1,8,0,NA,NA,NA
"MATTRYAN","QB","29-141","2014-10-05","ATL",TRUE,"NYG","L 20-30",5,"Sun",5,2014,5,316,1,1,NA,NA,NA,NA,NA
"MICHAELCRABTREE","WR","27-021","2014-10-05","SFO",FALSE,"KAN","W 22-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,16,0
"MICHAELFLOYD","WR","24-312","2014-10-05","ARI",TRUE,"DEN","L 20-41",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,1,7,0
"MICHAELPALMER","WR","26-260","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,1,1
"MICHAELVICK","QB","34-101","2014-10-05","NYJ",TRUE,"SDG","L 0-31",5,"Sun",5,2014,5,47,0,0,14,0,NA,NA,NA
"MIKEBROWN","WR","25-238","2014-10-05","JAX",FALSE,"PIT","L 9-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,2,26,0
"MIKEGLENNON","QB","24-297","2014-10-05","TAM",TRUE,"NOR","L 31-37",5,"Sun",5,2014,5,249,2,1,0,0,NA,NA,NA
"MIKEWILLIAMS","WR","27-140","2014-10-05","BUF",TRUE,"DET","W 17-14",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,8,0
"MILESAUSTIN","WR","30-097","2014-10-05","CLE",TRUE,"TEN","W 29-28",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,2,54,0
